what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648303170073
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1648303191665
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1648303225288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648303230075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303238240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303281377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303295462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303304785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303308567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303311368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303319047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303769873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303976933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303981829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648303985455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304031090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1648304048236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648304086877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304089754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304100654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304109203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304137605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304271687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304286674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648304368646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648304398195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304400191
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304423396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304439124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304476793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1648304487392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1648304495420
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1648304518334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1648304523760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304532402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648304537846
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1648304538035
