what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1645097840971
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1645097841222
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1645097841348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1645097857169
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1645097861434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097867812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097869299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1645097872649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097877886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097879521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097879882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097884349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097885569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097887052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097887415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1645097889212
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1645097891677
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1645097895351
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1645097896222
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1645097896347
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1645097913772
