what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644851458474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644851461337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644851462919
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1644851462935
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644851470465
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644851470513
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644851550395
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644851558290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644851799038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644851831041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644851840965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644930943909
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1644930947402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644930952566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644930953462
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1644930955550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644930971143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931045380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931049467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931057347
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931072489
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931075675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644931077511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644931078257
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1644931082893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644931083050
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931084651
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931084877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931087606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931089639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931093520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931100708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644931102711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644931103271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644931111218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931121415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931133251
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931140529
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931142817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644931146717
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931147582
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931161256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644931162141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644931162616
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931163462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931167800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931197463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644931198864
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931199777
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931200605
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931201413
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931202056
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931202529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644931204336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644931205264
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931206081
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644931211479
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644931212783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644931215596
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1644931218131
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1644931218163
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1644931218225
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1644931218257
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1644931218288
