what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934021605
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934039267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934042550
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934043990
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934044094
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934046593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934050707
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934052776
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934057294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934060071
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934062078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934069659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934072453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644934078237
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934080640
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934080640
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934082024
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934084495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934088370
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934090796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934093743
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934096355
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934099453
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934100915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934105158
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934106803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934111720
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934114239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934117948
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934119673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934122735
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934125135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934130931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644934167592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934228806
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934234238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934238218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934242230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934246396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934249901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934313093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934313214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934321911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934326535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934332638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934335273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934346625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934347850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934350805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644934388078
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1644934390732
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1644934390940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934391973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934397800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644934442310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934443574
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644934449835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934452543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934468147
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934468563
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934468679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1644934470115
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644934476147
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934494822
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934494939
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934508275
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934510465
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934529427
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934531880
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934533201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934538402
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934541728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934545913
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934559184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934572875
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934575147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934578061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934585807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934586046
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934615164
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934617484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644934621627
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934623243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644934626475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934695934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934696173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934712873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934714969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934721307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934721496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934723994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934724186
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934735806
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934739066
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934741817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934750765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934754535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934761731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934763874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934765231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934771429
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1644934780054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1644934780058
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934783502
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934788617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934793151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934802681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934802808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934805338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934824414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934827583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934828170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934836330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934841379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934849682
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934854453
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934858186
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934863415
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934875668
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934883426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934887259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934890830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934891184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644934898759
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934900421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934909780
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934913181
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934913181
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934915923
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934921154
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934924515
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644934947336
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934947613
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934947721
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644934959543
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934959813
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934959918
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644934974770
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934974995
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934980553
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644934984603
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1644935006365
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644935006618
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644935006728
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644935014584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644935024171
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1644935025302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1644935025463
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644935028276
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1644935032113
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644935036264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935037835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935041167
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1644935041253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935044085
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935051446
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935051803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935113127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935115365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935127115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935127465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935131808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644935731465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644936185357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644936425883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644936595409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644936836001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644937462517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1644937486636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644937706506
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644943054821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644943057722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644943059781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644943059826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644943062937
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1644943063282
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1645018405699
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1645018405699
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1645018405699
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1645018405699
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1645018405699
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1645018405699
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1645018405699
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1645018405699
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1645018405699
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1645018405699
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1645018405699
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1645018405699
