what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1648556323202
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1648556323202
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1648556323202
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1648556323202
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1648556323202
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1648556323202
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1648556323202
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1648556323202
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1648556323218
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1648556323218
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1648556323218
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1648556323218
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1648556323218
os,sysinfo,,,"win32",1648556323218
arch,sysinfo,,,"x86",1648556323218
ws,sysinfo,,,"win32",1648556323218
locale,sysinfo,,,"en_US",1648556323218
processors,sysinfo,,,"12",1648556323218
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648556323218
java.runtime.version,sysinfo,,,"1.7.0-b147",1648556323218
java.specification.name,sysinfo,,,"Java Platform API Specification",1648556323218
java.specification.vendor,sysinfo,,,"Oracle Corporation",1648556323218
java.specification.version,sysinfo,,,"1.7",1648556323218
java.vendor,sysinfo,,,"Oracle Corporation",1648556323218
java.version,sysinfo,,,"1.7.0",1648556323218
java.vm.info,sysinfo,,,"mixed mode",1648556323218
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648556323218
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648556323218
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1648556323218
java.vm.specification.version,sysinfo,,,"1.7",1648556323218
java.vm.vendor,sysinfo,,,"Oracle Corporation",1648556323218
java.vm.version,sysinfo,,,"21.0-b17",1648556323218
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1648556406220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648556497953
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1648556616681
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1648556616681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1648556616822
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1648556618944
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1648556619086
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1648556619109
